conference_id,seed,college_name
1,1,Virginia
1,16,UMBC
1,8,Creighton
1,9,Kansas St.
1,5,Kentucky
1,12,Davidson
1,4,Arizona
1,13,Buffalo
1,6,Miami (Fla.)
1,11,Loyola-Chi.
1,3,Tennessee
1,14,Wright St.
1,7,Nevada
1,10,Texas
1,2,Cincinnati
1,15,Georgia St.
2,16,LIU-Brooklyn
2,11,St. Bona.
2,16,Radford
2,11,UCLA
2,1,Villanova
2,16,LIU/RAD
2,8,Va. Tech
2,9,Alabama
2,5,W. Virginia
2,12,Murray St.
2,4,Wichita St.
2,13,Marshall
2,6,Florida
2,11,STBON/UCLA
2,3,Texas Tech
2,14,SF Austin
2,7,Arkansas
2,10,Butler
2,2,Purdue
2,15,CSFullerton
3,1,Xavier
3,16,NCCU/TXSO
3,8,Missouri
3,9,Florida St.
3,5,Ohio St.
3,12,S. Dak. St.
3,4,Gonzaga
3,13,UNC-Green.
3,6,Houston
3,11,San Diego St
3,3,Michigan
3,14,Montana
3,7,Texas A&M
3,10,Providence
3,16,N.C. Central
3,2,N. Carolina
3,15,Lipscomb 
3,16,Texas So.
4,1,Kansas
4,16,Penn
4,8,Seton Hall
4,9,NC State
4,5,Clemson
4,12,New Mex. St.
4,4,Auburn
4,13,Charleston
4,6,TCU
4,11,ASU/SYR
4,3,Michigan St.
4,14,Bucknell
4,7,Rhode Island
4,10,Oklahoma
4,11,Arizona St.
4,2,Duke
4,11,Syracuse
4,15,Iona
